,USA_MOM,USA_QUAL,USA_VAL,USA_SMALL,EUR_MOM,EUR_QUAL,EUR_VAL,EUR_SMALL,CONS_DISC,CONS_STAP,ENERGY,HEALTH,INDUST,INFOTECH,MATERIALS
2002-01,582.17320822,739.60989327,419.4261721872873,179.96912139901488,1149.9509237676475,946.428096792218,643.4852770874788,122.3699241222298,239.72000122070312,220.6699981689453,207.27000427246094,381.6099853515625,251.6699981689453,357.5299987792969,135.4199981689453
2002-02,587.15003218,727.74157227,410.0310612747052,174.50420934729416,1144.6045300010294,961.1746318237832,651.6677594161038,122.16348975288072,242.58999633789062,229.47000122070312,215.44000244140625,382.5799865722656,257.5,307.3399963378906,142.1699981689453
2002-03,606.78877501,743.60815962,433.6182923702533,189.79522289212423,1184.7620045900956,999.3426590367988,688.680582276188,128.87871669421665,246.6699981689453,236.99000549316406,229.74000549316406,383.1400146484375,261.3500061035156,326.3399963378906,146.83999633789062
2002-04,606.7909051,694.43935039,428.8000880281581,189.81990620976345,1188.0203472604735,950.22083674054,684.7926458351631,128.1029331264325,236.5800018310547,241.3800048828125,218.00999450683594,359.1400146484375,236.8699951171875,285.8999938964844,139.66000366210938
2002-05,606.94452716,685.69072161,433.08784607192246,180.75053543762112,1141.5083705193736,894.4400524821014,671.321345399236,124.0326501179559,236.3000030517578,243.36000061035156,218.2100067138672,351.70001220703125,237.2100067138672,274.82000732421875,146.2100067138672
2002-06,575.01244658,637.1330708,393.4781747680774,169.16807482667895,1062.6925258165547,836.3114236061741,608.6189454423733,113.03035240348753,217.1699981689453,228.52000427246094,217.5800018310547,319.20001220703125,223.2899932861328,241.3800048828125,142.94000244140625
2002-07,539.46153379,598.55403971,358.8891097427716,145.77719219537337,984.9670761726494,757.1631172940105,526.7101822468239,101.4825160491546,191.61000061035156,217.94000244140625,189.69000244140625,312.1700134277344,213.72000122070312,223.2100067138672,126.81999969482422
2002-08,545.36537161,601.83705663,365.0149153733253,146.07513985945374,982.2971422614132,755.3232977104582,525.1661195342809,99.76235465981355,196.52999877929688,220.02999877929688,188.97999572753906,315.55999755859375,208.8300018310547,218.47999572753906,125.93000030517578
2002-09,509.23929035,539.78821342,316.9754042461917,135.07109529399975,904.4694493488385,710.4179858477315,453.4773119591202,88.05528527488707,179.52000427246094,203.52999877929688,172.6199951171875,295.07000732421875,183.41000366210938,180.1199951171875,109.47000122070312
2002-10,514.23113213,594.21785691,339.2567324315136,139.48623407697747,925.6384246971978,744.7444144476112,490.5066651950153,91.36820079924202,191.0800018310547,210.50999450683594,177.55999755859375,312.3999938964844,190.3699951171875,220.27000427246094,114.94000244140625
2002-11,507.38870043,615.28728548,358.964188503157,151.26535005617788,925.847902364943,754.2079760202723,512.1338746264815,94.8691309816033,200.3300018310547,204.14999389648438,183.19000244140625,320.29998779296875,202.2100067138672,257.3399963378906,128.38999938964844
2002-12,496.52717643,582.34034225,343.1066470703748,139.9489956640824,863.5565081255281,708.9911400374847,473.46544916765737,87.59044427215328,182.75,204.6199951171875,183.1300048828125,308.5799865722656,192.5,220.1699981689453,122.69000244140625
2003-01,487.19075396,563.37363494,335.9067102787823,136.39466115316137,809.6534298273343,657.1717701821425,460.609541975049,82.85930901435367,176.72999572753906,197.10000610351562,178.3800048828125,307.0400085449219,183.11000061035156,216.44000244140625,116.55999755859375
2003-02,482.33866064,556.57360977,323.9539330387106,132.48714737122265,802.8107676515849,629.0987669263762,437.3894755348582,79.20011565109301,175.14999389648438,191.3800048828125,181.05999755859375,301.0899963378906,179.75,221.6699981689453,113.0999984741211
2003-03,486.85827003,563.75278851,320.4809686885776,134.15054977570816,776.6178577149999,617.5949951837138,420.8916817232431,77.71554175457358,179.83999633789062,190.25,183.11000061035156,311.2099914550781,181.94000244140625,218.97000122070312,113.05999755859375
2003-04,516.03149269,597.66183181,346.1203626467844,149.37317316329194,832.6981929535712,666.862730843471,471.2886307864288,86.27205818451924,200.6199951171875,195.75,182.22000122070312,321.760009765625,201.22000122070312,238.7100067138672,123.44000244140625
2003-05,539.5023864,622.20238276,376.9009748991523,167.15799410470612,835.5730080232502,671.8718724531946,482.5771623883832,90.57262304931224,210.72000122070312,204.97000122070312,197.0,327.1600036621094,206.4600067138672,258.67999267578125,126.91999816894531
2003-06,547.65199762,628.57815699,385.05876294693934,169.21069757732235,843.8604826451291,682.3539372730946,510.678965413821,94.528930707719,213.75,206.47000122070312,194.82000732421875,341.0199890136719,209.75,258.5199890136719,127.76000213623047
2003-07,562.04247051,627.66239738,385.4758938069351,177.5568732258088,866.4512112057582,688.9001459084899,542.0530806997409,100.56859135770812,218.2899932861328,205.02000427246094,189.91000366210938,335.7900085449219,215.72999572753906,272.7900085449219,137.77999877929688
2003-08,569.59022985,636.74419075,392.5338476873737,187.99209015646903,882.9456996367526,712.9282013991424,564.0963112197568,106.65266206743853,229.0800018310547,208.9600067138672,200.6699981689453,322.82000732421875,224.57000732421875,288.2699890136719,141.72999572753906
2003-09,564.71757775,630.93907271,388.9317495532291,184.25576605115967,863.9105823102276,691.6485272876453,536.8100457522469,105.06052849781248,218.10000610351562,207.9600067138672,195.64999389648438,323.8500061035156,218.2899932861328,286.32000732421875,135.00999450683594
2003-10,599.6855468,656.6861753,410.2745256352004,202.0068920602999,917.0265217519913,728.0127688290368,585.8809771515496,113.84250414981663,237.5,218.00999450683594,197.22999572753906,325.989990234375,230.49000549316406,309.6000061035156,147.30999755859375
2003-11,605.27427062,658.79168539,420.3085792213168,209.0563690038652,921.7038625009636,733.6034017105869,593.1973652638865,114.52301740938954,239.50999450683594,219.85000610351562,196.9600067138672,330.7200012207031,233.6300048828125,314.3900146484375,150.35000610351562
2003-12,617.67753546,687.92685874,446.6930969398436,213.3129015076934,924.5496413781974,749.144545498575,606.741151751662,114.55388901434176,248.6999969482422,223.5,224.13999938964844,349.6600036621094,249.74000549316406,322.6600036621094,165.33999633789062
2004-01,632.82171701,692.70055131,457.60521398920525,222.37636851714527,978.9665927715962,759.8625721329443,637.6176272635523,123.39995179124018,246.66000366210938,223.69000244140625,226.94000244140625,359.1600036621094,252.42999267578125,333.8800048828125,157.3800048828125
2004-02,640.81082268,702.83281205,463.7128833746722,224.47881516987192,1010.6454922716772,787.5018342254452,656.6612942940764,128.89579076321013,251.64999389648438,236.3699951171875,236.0399932861328,361.6400146484375,249.6300048828125,322.9100036621094,165.02999877929688
2004-03,636.95039655,690.34459351,458.58082112654745,227.90247814854663,996.2127211236144,775.0688407415653,645.3921100255751,126.69050300900196,251.25,234.99000549316406,234.4499969482422,346.55999755859375,246.16000366210938,314.2699890136719,161.57000732421875
2004-04,608.37644195,700.936344,450.4135345619647,214.8610571332621,999.1304466291198,777.0728515587061,657.4059135387151,126.57640373016358,247.19000244140625,237.6199951171875,238.30999755859375,357.1499938964844,245.7100067138672,299.5299987792969,153.75999450683594
